TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Location,Channel,CustomerOccupation,Cluster_Final
124.76,49.0,45.0,1.0,5764.72,Debit,Seattle,Branch,Engineer,1.0
78.13,26.0,145.0,1.0,900.61,Debit,Milwaukee,Branch,Student,2.0
649.28,75.0,137.0,1.0,4875.86,Debit,San Jose,ATM,Retired,0.0
335.63,55.0,215.99999999999997,1.0,1019.39,Debit,Oklahoma City,Online,Retired,0.0
328.47,63.0,119.0,1.0,4323.66,Debit,San Antonio,ATM,Retired,0.0
34.02,38.0,18.999999999999996,1.0,14214.48,Debit,Philadelphia,Online,Doctor,3.0
241.42000000000002,57.0,116.00000000000001,1.0,13357.02,Credit,Charlotte,Online,Doctor,3.0
55.32,19.0,117.0,1.0,241.79000000000002,Debit,Tucson,ATM,Student,2.0
304.31,27.0,33.0,1.0,868.61,Debit,Louisville,Branch,Student,2.0
435.27,74.0,90.0,1.0,4673.28,Debit,Chicago,Branch,Retired,0.0
164.49,26.0,75.0,1.0,1509.27,Debit,Baltimore,Branch,Student,2.0
510.23999999999995,19.0,105.0,1.0,781.7,Debit,Oklahoma City,Online,Student,2.0
626.9,26.0,138.0,1.0,265.51,Debit,Denver,Online,Student,2.0
22.01,41.0,175.0,1.0,1335.09,Credit,Sacramento,Online,Engineer,1.0
425.34,69.0,121.0,1.0,3907.5399999999995,Credit,Kansas City,Online,Retired,0.0
424.56,51.0,264.0,1.0,5183.85,Debit,Omaha,Online,Engineer,1.0
85.43,67.0,145.0,1.0,14904.9,Debit,Virginia Beach,Branch,Doctor,3.0
169.5,28.0,142.0,1.0,918.8799999999999,Debit,San Diego,Branch,Student,2.0
104.63,62.0,90.0,1.0,4477.78,Debit,Omaha,ATM,Retired,0.0
316.95,25.0,83.0,1.0,1324.03,Debit,Mesa,Branch,Student,2.0
60.540000000000006,57.0,52.00000000000001,1.0,3534.93,Credit,Columbus,Branch,Retired,0.0
292.56,68.0,61.00000000000001,1.0,4638.37,Credit,Dallas,Branch,Retired,0.0
386.52,48.0,28.0,1.0,5630.61,Debit,Indianapolis,Branch,Engineer,1.0
112.07,23.0,51.00000000000001,1.0,930.3,Debit,Kansas City,Branch,Student,2.0
568.52,46.0,151.99999999999997,1.0,5499.91,Debit,Indianapolis,ATM,Engineer,1.0
349.64,48.0,226.0,1.0,6651.62,Debit,Las Vegas,Online,Engineer,1.0
601.4,56.0,104.0,1.0,8458.29,Credit,Philadelphia,Branch,Engineer,1.0
5.77,50.0,123.99999999999999,1.0,13988.12,Debit,Charlotte,Online,Doctor,3.0
201.33,42.0,186.0,1.0,2585.07,Credit,Nashville,Branch,Engineer,1.0
298.42,56.0,225.0,1.0,3014.75,Debit,Indianapolis,Branch,Retired,0.0
521.06,25.0,128.0,1.0,1951.42,Debit,Albuquerque,Branch,Student,2.0
117.28,60.0,16.0,1.0,3665.77,Credit,Austin,Online,Engineer,1.0
189.12,32.0,103.0,1.0,977.01,Credit,Indianapolis,Branch,Engineer,1.0
133.55,44.0,220.0,1.0,3846.2800000000007,Debit,Atlanta,ATM,Engineer,1.0
143.21,35.0,135.0,1.0,6374.82,Debit,Dallas,Online,Engineer,1.0
24.77,62.0,55.0,1.0,5866.01,Debit,Boston,ATM,Retired,0.0
233.92,26.0,280.0,1.0,6537.62,Credit,Jacksonville,Online,Student,2.0
232.12,37.0,51.00000000000001,1.0,6689.87,Debit,Omaha,ATM,Engineer,1.0
162.63,22.0,113.0,1.0,634.17,Debit,Kansas City,Online,Student,2.0
91.53,44.0,69.00000000000001,1.0,14676.05,Debit,Milwaukee,Branch,Doctor,3.0
120.29,19.0,77.0,1.0,1362.39,Debit,Miami,Branch,Student,2.0
174.25,50.0,67.0,1.0,10528.34,Debit,Seattle,Online,Doctor,3.0
183.71,38.0,102.0,1.0,552.52,Debit,Denver,ATM,Engineer,1.0
345.39,58.0,80.0,1.0,6451.96,Credit,Phoenix,Online,Engineer,1.0
259.91,49.0,170.0,1.0,7176.86,Debit,Denver,Online,Doctor,3.0
154.71,34.0,157.0,1.0,1523.72,Debit,San Diego,Online,Doctor,3.0
24.56,64.0,69.00000000000001,1.0,9869.93,Debit,Mesa,Branch,Doctor,3.0
568.07,48.0,115.0,1.0,10556.81,Debit,Washington,ATM,Doctor,3.0
9.61,58.0,179.0,1.0,12883.91,Credit,San Diego,Online,Doctor,3.0
392.96,24.0,100.00000000000001,1.0,791.65,Debit,Kansas City,Online,Student,2.0
716.93,60.0,34.0,1.0,4064.02,Credit,Milwaukee,Online,Retired,0.0
230.66,21.0,135.0,1.0,618.05,Debit,Houston,Branch,Student,2.0
442.12,19.0,260.0,1.0,1375.8,Debit,Los Angeles,Online,Student,2.0
644.17,29.0,72.0,1.0,1143.52,Debit,San Antonio,ATM,Engineer,1.0
508.67999999999995,51.0,127.0,1.0,7708.41,Credit,Mesa,Branch,Engineer,1.0
858.63,27.0,185.0,1.0,1872.96,Credit,San Francisco,Branch,Student,2.0
25.36,57.0,78.0,1.0,201.04,Debit,Louisville,ATM,Engineer,1.0
147.62,71.0,133.0,1.0,2115.8,Debit,Charlotte,Branch,Retired,0.0
115.02,37.0,175.0,1.0,7643.66,Debit,San Antonio,Branch,Doctor,3.0
383.37,30.0,24.0,1.0,8901.93,Debit,Fort Worth,Branch,Engineer,1.0
98.54,20.0,167.0,1.0,9383.43,Credit,El Paso,Online,Student,2.0
83.24,55.0,164.0,1.0,1181.31,Credit,Fort Worth,Branch,Doctor,3.0
196.16,27.0,146.0,1.0,9418.86,Debit,Virginia Beach,Branch,Engineer,1.0
129.94,32.0,235.0,1.0,7954.919999999999,Debit,Las Vegas,ATM,Engineer,1.0
306.9,46.0,51.00000000000001,1.0,9418.08,Debit,Colorado Springs,Online,Engineer,1.0
114.98,59.0,80.0,1.0,6144.68,Debit,Seattle,Online,Retired,0.0
756.59,27.0,17.0,1.0,420.65,Debit,Sacramento,Branch,Student,2.0
503.76000000000005,22.0,35.0,1.0,447.82,Debit,Los Angeles,Online,Student,2.0
143.03,63.0,147.0,1.0,7981.450000000001,Debit,San Antonio,ATM,Retired,0.0
245.54,25.0,180.0,1.0,985.0600000000001,Debit,New York,ATM,Student,2.0
254.37000000000003,51.0,174.0,1.0,8849.26,Credit,Dallas,Online,Engineer,1.0
213.76,78.0,282.0,1.0,3528.72,Credit,Dallas,ATM,Retired,0.0
327.86,40.0,104.0,1.0,480.16,Debit,Fresno,Online,Engineer,1.0
2.5,47.0,107.0,1.0,12145.27,Debit,San Diego,Online,Doctor,3.0
300.08,68.0,47.0,1.0,13546.75,Credit,Austin,Online,Doctor,3.0
407.65,26.0,61.99999999999999,1.0,8346.64,Debit,Boston,Online,Engineer,1.0
115.83,39.0,167.0,1.0,6481.04,Debit,Fresno,Branch,Engineer,1.0
53.57,69.0,121.0,1.0,1651.33,Debit,Houston,ATM,Retired,0.0
63.34,46.0,165.0,1.0,11174.94,Credit,Detroit,Online,Doctor,3.0
317.87,27.0,91.0,1.0,145.5,Debit,Detroit,Online,Student,2.0
331.65,41.0,61.00000000000001,1.0,4172.57,Debit,Portland,Online,Engineer,1.0
5.04,56.0,41.0,1.0,5558.36,Debit,Washington,ATM,Retired,0.0
214.54,70.0,247.0,1.0,11151.53,Credit,Detroit,Online,Doctor,3.0
598.81,57.0,158.0,1.0,1415.52,Debit,Philadelphia,Branch,Doctor,3.0
841.28,26.0,80.0,1.0,1103.64,Debit,Tucson,Online,Student,2.0
38.15,26.0,107.99999999999999,1.0,303.68,Debit,Mesa,Online,Student,2.0
124.72,33.0,105.0,1.0,6309.8,Debit,Oklahoma City,Branch,Engineer,1.0
302.45,78.0,40.0,1.0,5133.61,Credit,San Antonio,Branch,Retired,0.0
208.04,47.0,273.0,1.0,9344.98,Debit,Louisville,Online,Engineer,1.0
5.77,23.0,254.0,1.0,1117.97,Credit,Los Angeles,Branch,Student,2.0
381.33,56.0,75.0,1.0,11835.35,Debit,Albuquerque,ATM,Doctor,3.0
16.16,50.0,123.99999999999999,1.0,14401.17,Debit,Milwaukee,ATM,Doctor,3.0
486.0799999999999,18.0,68.00000000000001,1.0,1748.69,Debit,Oklahoma City,Online,Student,2.0
336.39,21.0,18.0,1.0,1000.46,Debit,San Antonio,Branch,Student,2.0
234.57,23.0,120.0,1.0,263.98,Debit,Chicago,Online,Student,2.0
6.0,30.0,246.0,1.0,5442.76,Debit,Chicago,Online,Doctor,3.0
227.14,18.0,294.0,1.0,341.94,Debit,Charlotte,ATM,Student,2.0
233.74,66.0,17.0,1.0,1066.59,Credit,Oklahoma City,Online,Retired,0.0
113.02,69.0,166.0,1.0,6077.96,Credit,Jacksonville,Branch,Retired,0.0
45.85,20.0,91.99999999999999,1.0,1659.15,Debit,Los Angeles,ATM,Student,2.0
415.5,66.0,141.0,1.0,10113.66,Debit,Memphis,ATM,Doctor,3.0
265.76,54.0,91.99999999999999,1.0,4446.17,Debit,Philadelphia,Online,Retired,0.0
69.4,80.0,113.0,1.0,6452.77,Debit,Virginia Beach,Online,Retired,0.0
332.93,35.0,293.0,1.0,2788.2,Credit,Albuquerque,Branch,Engineer,1.0
267.9,20.0,160.0,1.0,596.1599999999999,Debit,San Antonio,Online,Student,2.0
496.0299999999999,61.0,265.0,1.0,12904.66,Debit,San Francisco,Branch,Doctor,3.0
376.26,37.0,245.0,1.0,9062.4,Debit,Tucson,ATM,Engineer,1.0
83.02,36.0,171.0,1.0,9009.56,Credit,Seattle,Online,Engineer,1.0
93.26,20.0,72.0,1.0,1152.2,Credit,New York,Online,Student,2.0
803.37,68.0,129.0,1.0,12168.37,Credit,Memphis,Branch,Doctor,3.0
35.76,23.0,122.0,1.0,611.8599999999999,Debit,Charlotte,Branch,Student,2.0
28.53,62.0,99.0,1.0,8670.53,Debit,Washington,Online,Doctor,3.0
139.53,53.0,177.0,1.0,10098.86,Credit,Louisville,Online,Doctor,3.0
307.57,33.0,285.0,1.0,5307.74,Debit,Detroit,Branch,Doctor,3.0
60.650000000000006,56.0,53.00000000000001,1.0,1047.28,Credit,Tucson,Branch,Retired,0.0
74.86,70.0,125.0,1.0,6921.48,Debit,Nashville,Branch,Doctor,3.0
117.97,51.0,137.0,1.0,1475.46,Debit,Kansas City,Branch,Retired,0.0
231.91,34.0,165.0,1.0,112.76,Debit,Memphis,ATM,Engineer,1.0
126.20999999999998,75.0,268.0,1.0,5669.66,Debit,Baltimore,Branch,Retired,0.0
304.35,31.0,36.0,1.0,4057.1,Debit,Houston,Branch,Engineer,1.0
281.85,22.0,109.0,1.0,1585.98,Debit,Detroit,ATM,Student,2.0
777.88,31.0,17.0,1.0,6825.55,Debit,Houston,Branch,Engineer,1.0
119.18,56.0,96.0,1.0,5516.5,Debit,Los Angeles,Branch,Retired,0.0
177.19,76.0,43.0,1.0,5343.3,Debit,Chicago,Online,Retired,0.0
260.88,22.0,36.0,1.0,903.05,Debit,Denver,Branch,Student,2.0
169.47,24.0,18.999999999999996,1.0,1806.16,Debit,Chicago,Online,Student,2.0
73.23,26.0,14.0,1.0,787.7399999999999,Debit,Portland,Branch,Student,2.0
792.57,19.0,164.0,1.0,770.37,Debit,Baltimore,ATM,Student,2.0
237.06,71.0,45.99999999999999,1.0,1182.77,Debit,Phoenix,Online,Retired,0.0
34.17,54.0,53.99999999999999,1.0,726.55,Credit,Philadelphia,Online,Engineer,1.0
740.25,41.0,123.0,1.0,14464.3,Debit,Philadelphia,Online,Doctor,3.0
453.54,58.0,82.0,1.0,12046.3,Debit,Albuquerque,ATM,Doctor,3.0
300.47,73.0,100.00000000000001,1.0,7885.64,Debit,Jacksonville,Branch,Retired,0.0
110.93,19.0,201.0,1.0,1952.3499999999997,Credit,Virginia Beach,Branch,Student,2.0
201.69,59.0,299.0,1.0,7328.52,Debit,Las Vegas,ATM,Doctor,3.0
399.21,59.0,109.0,1.0,3210.39,Debit,Portland,ATM,Engineer,1.0
630.36,62.0,52.00000000000001,1.0,1363.65,Debit,Mesa,ATM,Retired,0.0
10.94,60.0,245.0,1.0,1241.99,Credit,Philadelphia,ATM,Engineer,1.0
215.9,38.0,235.0,1.0,7873.280000000001,Debit,Los Angeles,ATM,Doctor,3.0
226.37,49.0,141.0,1.0,9840.04,Credit,Louisville,Branch,Doctor,3.0
444.89,43.0,101.0,1.0,10328.23,Credit,Las Vegas,Branch,Doctor,3.0
280.57,25.0,24.0,1.0,293.24,Credit,Virginia Beach,Online,Student,2.0
488.54,52.0,132.0,1.0,7486.63,Debit,Jacksonville,Branch,Engineer,1.0
3.3,50.0,131.0,1.0,11385.37,Credit,Los Angeles,Branch,Doctor,3.0
199.39,69.0,165.0,1.0,7264.79,Debit,Colorado Springs,Branch,Retired,0.0
20.36,62.0,75.0,1.0,2762.48,Debit,Tucson,Branch,Retired,0.0
113.64,62.0,32.0,1.0,6675.03,Debit,Detroit,Online,Retired,0.0
493.11,53.0,236.0,1.0,7432.99,Debit,Colorado Springs,Branch,Retired,0.0
307.41,19.0,14.0,1.0,1057.0,Debit,Los Angeles,ATM,Student,2.0
11.18,43.0,161.0,1.0,5956.89,Debit,Atlanta,Online,Doctor,3.0
313.82,59.0,151.0,1.0,7261.59,Debit,Tucson,Branch,Engineer,1.0
51.0,64.0,107.0,1.0,4943.16,Debit,Seattle,Branch,Retired,0.0
140.98,60.0,100.00000000000001,1.0,8127.4800000000005,Debit,Memphis,Branch,Engineer,1.0
288.04,68.0,63.0,1.0,1748.02,Debit,Denver,ATM,Retired,0.0
800.55,31.0,107.99999999999999,1.0,9660.22,Debit,Oklahoma City,ATM,Engineer,1.0
485.54,46.0,143.0,1.0,6371.51,Debit,Houston,ATM,Engineer,1.0
521.15,54.0,214.0,1.0,9442.47,Debit,Kansas City,ATM,Doctor,3.0
321.79,63.0,61.00000000000001,1.0,5959.2,Credit,Raleigh,ATM,Retired,0.0
304.93,65.0,158.0,1.0,13531.22,Debit,Portland,ATM,Doctor,3.0
432.08,40.0,145.0,1.0,11500.62,Debit,El Paso,ATM,Doctor,3.0
694.2,61.0,72.0,1.0,1389.37,Debit,Milwaukee,ATM,Retired,0.0
116.86,55.0,171.0,1.0,6706.56,Debit,Louisville,ATM,Engineer,1.0
386.81,57.0,149.0,1.0,7175.29,Credit,Detroit,Online,Doctor,3.0
74.88,25.0,202.0,1.0,420.67,Debit,Atlanta,ATM,Student,2.0
195.76,75.0,99.0,1.0,7323.53,Debit,Philadelphia,Branch,Retired,0.0
134.7,50.0,106.0,1.0,8395.85,Debit,Fort Worth,ATM,Doctor,3.0
890.24,33.0,161.0,1.0,5140.93,Credit,Las Vegas,Online,Engineer,1.0
361.27,63.0,180.0,1.0,7945.57,Debit,Omaha,ATM,Doctor,3.0
131.56,44.0,42.00000000000001,1.0,5873.54,Debit,Charlotte,Branch,Doctor,3.0
485.51,76.0,37.0,1.0,3074.45,Credit,Milwaukee,Online,Retired,0.0
547.87,64.0,131.0,1.0,6155.76,Debit,Columbus,ATM,Retired,0.0
457.3,28.0,15.0,1.0,8318.29,Debit,Virginia Beach,Online,Engineer,1.0
506.24,58.0,64.0,1.0,230.09,Debit,Chicago,ATM,Engineer,1.0
486.59,57.0,119.0,1.0,2513.56,Debit,Indianapolis,Branch,Retired,0.0
163.68,41.0,292.0,1.0,10090.05,Debit,San Diego,Branch,Doctor,3.0
581.65,22.0,176.0,1.0,480.19000000000005,Debit,Boston,ATM,Student,2.0
52.01,48.0,85.0,1.0,1120.88,Debit,Mesa,ATM,Doctor,3.0
630.24,21.0,61.99999999999999,1.0,370.81,Debit,Boston,ATM,Student,2.0
523.74,43.0,159.0,1.0,13498.55,Debit,Oklahoma City,ATM,Doctor,3.0
217.5,46.0,35.0,1.0,3057.4,Credit,Denver,Branch,Engineer,1.0
91.48,51.0,141.0,1.0,14942.779999999999,Debit,Fort Worth,ATM,Doctor,3.0
5.25,39.0,49.0,1.0,14143.32,Debit,San Jose,ATM,Doctor,3.0
54.03,56.0,161.0,1.0,6736.3,Credit,Milwaukee,ATM,Retired,0.0
736.73,48.0,10.0,1.0,3313.07,Debit,Memphis,Branch,Engineer,1.0
368.91,54.0,14.0,1.0,829.7099999999999,Debit,Virginia Beach,Branch,Doctor,3.0
33.06,53.0,170.0,1.0,1540.87,Credit,Fort Worth,Online,Retired,0.0
66.5,32.0,144.0,1.0,6820.23,Credit,Louisville,Online,Engineer,1.0
177.08,35.0,85.0,1.0,13475.14,Debit,Las Vegas,Online,Doctor,3.0
588.54,32.0,130.0,1.0,714.4499999999999,Debit,Portland,Branch,Engineer,1.0
173.5,21.0,282.0,1.0,1306.91,Debit,Nashville,ATM,Student,2.0
78.33,56.0,189.0,1.0,7255.33,Credit,Memphis,Online,Engineer,1.0
40.66,59.0,156.0,1.0,1153.84,Debit,Louisville,Branch,Retired,0.0
97.22,77.0,55.0,1.0,6647.73,Credit,Atlanta,Branch,Retired,0.0
34.07,22.0,81.0,1.0,8709.77,Debit,Philadelphia,Branch,Student,2.0
492.06000000000006,23.0,74.0,1.0,857.9,Debit,Fresno,Online,Student,2.0
842.01,53.0,185.0,1.0,509.45000000000005,Credit,Virginia Beach,Online,Doctor,3.0
73.55,51.0,158.0,1.0,2812.06,Debit,Atlanta,ATM,Engineer,1.0
760.53,57.0,118.0,1.0,6179.91,Debit,Phoenix,Online,Engineer,1.0
273.08,26.0,134.0,1.0,6609.3,Credit,Houston,Branch,Engineer,1.0
371.69,67.0,143.0,1.0,3484.32,Debit,San Francisco,Branch,Retired,0.0
218.96,18.0,13.0,1.0,754.21,Debit,Seattle,ATM,Student,2.0
227.39,18.0,65.0,1.0,751.09,Debit,Atlanta,Online,Student,2.0
237.99,39.0,86.0,1.0,8510.09,Credit,Kansas City,Branch,Doctor,3.0
186.6,58.0,13.0,1.0,1508.72,Debit,Washington,Online,Doctor,3.0
341.15,18.0,148.0,1.0,511.36999999999995,Debit,San Jose,Online,Student,2.0
434.58,59.0,215.0,1.0,12648.32,Debit,Memphis,ATM,Doctor,3.0
312.88,54.0,44.0,1.0,233.21,Credit,Portland,Branch,Engineer,1.0
75.15,23.0,154.0,1.0,1092.92,Debit,Boston,ATM,Student,2.0
23.3,59.0,161.0,1.0,6711.15,Debit,Los Angeles,ATM,Engineer,1.0
47.38,25.0,61.00000000000001,1.0,459.37,Credit,Seattle,Online,Student,2.0
512.81,79.0,30.0,1.0,6994.34,Debit,Sacramento,Branch,Retired,0.0
488.15000000000003,43.0,168.00000000000003,1.0,7071.09,Debit,Louisville,Branch,Engineer,1.0
12.82,44.0,156.0,1.0,9045.19,Debit,Fort Worth,ATM,Engineer,1.0
535.91,43.0,22.0,1.0,9642.12,Debit,Las Vegas,Online,Engineer,1.0
270.72,26.0,53.00000000000001,1.0,6263.96,Credit,Washington,Online,Engineer,1.0
97.98,72.0,18.0,1.0,7460.329999999999,Debit,Denver,Branch,Retired,0.0
196.08,61.0,98.0,1.0,4233.82,Debit,San Francisco,Online,Retired,0.0
251.18000000000004,42.0,246.0,1.0,8303.9,Debit,San Jose,ATM,Engineer,1.0
44.52,28.0,205.0,1.0,314.28,Debit,El Paso,Online,Student,2.0
178.87,35.0,180.0,1.0,5241.23,Debit,Baltimore,Online,Doctor,3.0
386.68,46.0,128.0,1.0,6863.06,Debit,New York,Branch,Doctor,3.0
167.14,76.0,20.0,1.0,3877.7299999999996,Debit,Denver,Online,Retired,0.0
345.22,69.0,253.0,1.0,4046.5800000000004,Debit,Fresno,Branch,Retired,0.0
74.85,72.0,117.0,1.0,2409.73,Debit,Raleigh,ATM,Retired,0.0
671.73,58.0,53.99999999999999,1.0,5211.88,Debit,Washington,Branch,Engineer,1.0
255.03999999999996,45.0,151.99999999999997,1.0,6217.86,Debit,Seattle,ATM,Engineer,1.0
45.77,25.0,109.0,1.0,5978.12,Debit,Philadelphia,Online,Student,2.0
329.69,26.0,66.0,1.0,1671.66,Credit,San Antonio,Online,Student,2.0
11.92,53.0,52.00000000000001,1.0,14611.9,Debit,San Diego,Branch,Doctor,3.0
47.42,64.0,28.0,1.0,8253.52,Debit,San Diego,ATM,Doctor,3.0
35.99,63.0,129.0,1.0,4489.79,Debit,Miami,Branch,Retired,0.0
151.19,37.0,96.0,1.0,11903.82,Credit,New York,Branch,Doctor,3.0
242.62,22.0,234.0,1.0,483.02000000000004,Credit,San Francisco,Online,Student,2.0
48.72,21.0,17.0,1.0,816.0799999999999,Debit,Virginia Beach,Branch,Student,2.0
43.46,25.0,80.0,1.0,578.06,Debit,Boston,ATM,Student,2.0
443.79,53.0,87.0,1.0,3133.85,Debit,Las Vegas,ATM,Retired,0.0
365.14,68.0,57.0,1.0,5894.09,Debit,Dallas,Online,Retired,0.0
757.41,22.0,37.0,1.0,9532.42,Debit,Los Angeles,ATM,Student,2.0
20.54,51.0,72.0,1.0,5327.03,Debit,Fort Worth,Branch,Engineer,1.0
475.36,34.0,105.0,1.0,2000.6,Debit,Phoenix,ATM,Engineer,1.0
34.74,56.0,24.0,1.0,6827.57,Debit,San Francisco,ATM,Retired,0.0
689.54,27.0,93.0,1.0,1633.76,Debit,Oklahoma City,Branch,Student,2.0
211.18,73.0,90.0,1.0,4069.1699999999996,Debit,Washington,ATM,Retired,0.0
211.36,51.0,286.0,1.0,7943.469999999999,Credit,Fort Worth,Branch,Engineer,1.0
744.41,39.0,107.0,1.0,8842.47,Credit,Houston,Online,Engineer,1.0
61.43,24.0,170.0,1.0,1882.77,Debit,Phoenix,Online,Student,2.0
167.44,37.0,82.0,1.0,12526.71,Debit,Mesa,Branch,Doctor,3.0
361.46,21.0,83.0,1.0,4737.84,Debit,Nashville,Online,Student,2.0
378.85,78.0,126.0,1.0,2300.53,Debit,Virginia Beach,Branch,Retired,0.0
241.10999999999999,30.0,55.0,1.0,12385.05,Debit,Columbus,Branch,Doctor,3.0
131.93,31.0,13.0,1.0,4547.06,Credit,Fort Worth,Branch,Engineer,1.0
20.28,36.0,213.0,1.0,2047.83,Debit,Oklahoma City,Online,Engineer,1.0
415.88,70.0,170.0,1.0,10008.33,Debit,San Diego,Branch,Doctor,3.0
49.99,62.0,139.0,1.0,2299.64,Debit,Omaha,ATM,Retired,0.0
100.66,50.0,144.0,1.0,14473.33,Debit,Dallas,Branch,Doctor,3.0
485.54,19.0,148.0,1.0,1533.32,Debit,Louisville,Online,Student,2.0
321.15,46.0,179.0,1.0,7005.05,Debit,Los Angeles,Branch,Doctor,3.0
711.3,21.0,51.00000000000001,1.0,955.4,Debit,San Jose,Branch,Student,2.0
12.23,42.0,139.0,1.0,7844.880000000001,Debit,Houston,ATM,Engineer,1.0
350.94,20.0,64.0,1.0,221.56,Debit,Colorado Springs,ATM,Student,2.0
301.85,54.0,25.000000000000004,1.0,6586.19,Debit,Columbus,Online,Engineer,1.0
29.34,65.0,30.0,1.0,3944.82,Debit,Louisville,Online,Retired,0.0
231.71,27.0,148.0,1.0,1127.98,Debit,Raleigh,Branch,Student,2.0
179.43,58.0,244.0,1.0,2626.63,Debit,Oklahoma City,ATM,Retired,0.0
36.71,48.0,55.0,1.0,6459.38,Debit,Jacksonville,Branch,Doctor,3.0
138.12,53.0,281.0,1.0,1649.69,Credit,Los Angeles,Branch,Doctor,3.0
233.24,33.0,72.0,1.0,6939.23,Debit,Louisville,ATM,Engineer,1.0
609.14,39.0,177.0,1.0,9033.87,Debit,Tucson,ATM,Engineer,1.0
436.64,31.0,111.0,1.0,14365.18,Debit,Los Angeles,Branch,Doctor,3.0
870.43,29.0,55.0,1.0,10115.18,Debit,Los Angeles,Branch,Doctor,3.0
354.4,74.0,128.0,1.0,7358.65,Debit,Chicago,ATM,Retired,0.0
22.63,53.0,112.0,1.0,4438.03,Debit,Kansas City,Online,Engineer,1.0
182.19,26.0,53.00000000000001,1.0,1176.1,Debit,Mesa,Branch,Student,2.0
126.81,26.0,290.0,1.0,5427.98,Debit,Philadelphia,Branch,Engineer,1.0
288.17,37.0,50.00000000000001,1.0,3653.11,Debit,Virginia Beach,Online,Engineer,1.0
118.77,55.0,123.0,1.0,2104.82,Debit,Atlanta,Branch,Engineer,1.0
651.82,21.0,166.0,1.0,1802.77,Debit,Indianapolis,ATM,Student,2.0
66.65,37.0,33.0,1.0,3559.96,Debit,Detroit,ATM,Engineer,1.0
98.53,69.0,166.0,1.0,3564.8,Debit,Denver,Branch,Retired,0.0
138.95,71.0,30.0,1.0,6752.92,Debit,Washington,Online,Retired,0.0
33.89,26.0,177.0,1.0,1444.75,Debit,Nashville,Branch,Student,2.0
23.71,58.0,164.0,1.0,10788.89,Debit,Atlanta,Branch,Doctor,3.0
26.06,65.0,283.0,1.0,12893.63,Debit,San Diego,ATM,Doctor,3.0
17.07,27.0,44.0,1.0,2798.15,Debit,Los Angeles,Branch,Engineer,1.0
703.89,46.0,61.99999999999999,1.0,3583.67,Debit,San Antonio,Online,Engineer,1.0
26.55,77.0,228.0,1.0,3085.38,Debit,Houston,ATM,Retired,0.0
